Transaction time,Type,Transaction object,Amount (RMB)
2024/8/31 15:52,Entertainment,Tencent,гд15.00
2024/8/26 19:42,Catering,Meat buns,гд8.00
2024/8/26 19:11,Catering,Oily noodles,гд14.90
2024/8/26 1:23,Living,STAYREAL,гд229.00
2024/8/25 18:06,Catering,KSAMIYA,гд100.00
2024/8/25 11:44,Shopping,PDD,гд9.99
2024/8/22 10:07,Catering,Soup dumplings,гд6.50
2024/8/20 8:59,Catering,Beef broth,гд15.00
2024/8/19 12:27,Shopping,Aviation restaurant supermarket,гд3.00
2024/8/18 8:20,Catering,Tofu soup,гд7.00
2024/8/17 14:39,Catering,Meituan,гд19.90
2024/8/15 11:44,Shopping,PDD,гд9.90
2024/8/15 11:44,Shopping,PDD,гд69.29
2024/8/14 21:04,Catering,Meituan,гд23.78
2024/8/14 16:52,Shopping,Master Bao,гд42.00
2024/8/13 19:19,Catering,Meituan,гд26.26
2024/8/13 13:41,Shopping,Morning Glory,гд22.00
2024/8/12 9:55,Catering,Tofu soup,гд7.00
2024/8/10 20:25,Living,Yitian,гд156.00
2024/8/10 14:51,Living,Huayuzhu,гд3.00
2024/8/10 10:12,Living,M,гд438.00
2024/8/10 6:27,Catering,Tofu soup,гд7.00
2024/8/9 11:29,Catering,Meituan,гд18.90
2024/8/7 11:22,Catering,Meituan,гд18.90
2024/8/6 19:46,Catering,Meituan,гд18.00
2024/8/6 11:25,Catering,Meituan,гд17.80
2024/8/5 11:24,Catering,Meituan,гд18.50
2024/8/3 17:44,Catering,Meituan,гд21.80
2024/8/2 19:23,Catering,Benmu,гд20.00
2024/8/2 19:08,Catering,Missa Ice City,гд15.30
2024/8/2 19:04,Catering,Master Bao,гд41.12
2024/8/2 11:17,Catering,Meituan,гд17.80
2024/8/2 9:20,Catering,Snack,гд1.00
2024/8/1 20:42,Catering,Oily noodles,гд15.90
2024/8/1 16:40,Income,ICBC,"гд8,000"
2024/8/1 12:33,Living,Smart charging platform,гд1.00
2024/8/1 11:32,Catering,Meituan,гд16.80
2024/7/31 19:48,Catering,Meituan,гд22.90
2024/7/31 15:55,Entertainment,Tencent,гд15.00
2024/7/30 19:10,Catering,Meituan,гд39.60
2024/7/30 11:30,Catering,Meituan,гд23.10
2024/7/29 18:56,Catering,Meituan,гд17.36
2024/7/27 22:13,Shopping,Aviation restaurant supermarket,гд2.00
2024/7/26 19:52,Catering,Meituan,гд17.26
2024/7/25 19:07,Catering,Xiguanwei,гд71.70
2024/7/25 18:49,Shopping,Master Bao,гд23.48
2024/7/25 10:20,Catering,Snack,гд1.00
2024/7/25 8:00,Catering,Snack,гд2.00
2024/7/23 19:50,Catering,Meituan,гд32.90
2024/7/23 16:20,Catering,Snack,гд2.00
2024/7/23 10:55,Catering,Meituan,гд17.00
2024/7/22 15:27,Catering,Snack,гд2.00
2024/7/22 12:11,Catering,Meituan,гд20.40
2024/7/22 11:48,Shopping,Morning Glory,гд2.00
2024/7/21 12:29,Living,Yitian,гд7.00
2024/7/21 12:27,Living,Mingxin,гд16.40
2024/7/21 12:27,Living,Yitian,гд38.58
2024/7/20 17:52,Living,Yilei,гд5.00
2024/7/20 15:05,Shopping,PDD,гд6.90
2024/7/19 18:05,Catering,Meituan,гд21.20
2024/7/19 13:59,Shopping,JD,гд82.90
2024/7/18 18:18,Shopping,Morning Glory,гд7.00
2024/7/18 18:11,Catering,KSAMIYA,гд17.90
2024/7/18 16:16,Shopping,Baidelai,гд3.00
2024/7/17 18:01,Catering,Meituan,гд19.80
2024/7/17 13:40,Shopping,Morning Glory,гд5.00
2024/7/16 10:21,Shopping,Baidelai,гд2.00
2024/7/15 16:24,Contingency,Beijing Charity Association,гд20.00
2024/7/14 22:04,Living,Zhang,"гд1,000.00"
2024/7/14 20:02,Catering,Potstickers,гд8.00
2024/7/14 14:40,Shopping,Morning Glory,гд2.00
2024/7/13 20:55,Catering,Missa Ice City,гд6.00
2024/7/12 13:35,Shopping,Morning Glory,гд2.00
2024/7/12 7:55,Shopping,Baidelai,гд3.00
2024/7/11 9:01,Living,Fangming,гд90.00
2024/7/9 20:03,Catering,Wonton House,гд18.00
2024/7/9 7:53,Catering,Beef broth,гд10.00
2024/7/8 10:03,Catering,Beef broth,гд10.00
2024/7/6 13:22,Living,Jiachen,гд195.00
2024/7/6 12:59,Shopping,DMALL,гд19.10
2024/7/6 12:39,Catering,Meituan,гд22.80
2024/7/5 9:12,Catering,BUPT,гд4.50
2024/7/4 18:07,Shopping,DMALL,гд14.80
2024/7/4 17:38,Living,BUPT,гд50.00
2024/7/4 17:34,Catering,BUPT,гд2.00
2024/7/4 16:40,Shopping,DMALL,гд1.50
2024/7/4 12:34,Catering,Canteen,гд127.00
2024/7/3 20:02,Shopping,DMALL,гд1.50
2024/7/3 10:26,Shopping,DMALL,гд1.50
2024/7/2 22:49,Shopping,DMALL,гд7.90
2024/7/1 23:29,Shopping,DMALL,гд2.90
2024/7/1 10:13,Living,Xiaodan,гд0.60
2024/7/1 8:40,Income,ICBC,"гд8,000"
2024/6/30 21:40,Shopping,DMALL,гд3.80
2024/6/30 18:53,Living,BUPT,гд12.00
2024/6/30 17:47,Catering,Meituan,гд25.29
2024/6/30 16:10,Entertainment,Tencent,гд15.00
2024/6/30 8:55,Living,Jiachen,гд994.00
2024/6/29 19:10,Catering,Heytea,гд18.00
2024/6/27 19:30,Catering,Nayuki,гд14.00
2024/6/27 16:00,Catering,Meituan,гд21.00
2024/6/27 12:43,Catering,Beijing Railway Service,гд60.00
2024/6/27 7:42,Catering,BUPT,гд2.00
2024/6/27 7:41,Catering,BUPT,гд9.50
2024/6/26 23:29,Shopping,Fruit shop,гд4.50
2024/6/26 22:58,Shopping,DMALL,гд1.50
2024/6/26 20:17,Shopping,DMALL,гд17.00
2024/6/26 18:33,Catering,Meituan,гд27.10
2024/6/26 17:26,Living,SF Express,гд15.00
2024/6/26 12:14,Catering,Boshiju,гд65.00
2024/6/25 13:17,Shopping,DMALL,гд16.50
2024/6/24 18:19,Catering,Meituan,гд21.90
2024/6/24 13:02,Shopping,DMALL,гд9.90
2024/6/24 12:46,Catering,BUPT,гд6.00
2024/6/23 19:26,Shopping,DMALL,гд16.24
2024/6/23 18:58,Catering,BUPT,гд13.86
2024/6/23 16:34,Shopping,DMALL,гд1.50
2024/6/23 16:32,Living,Fenbitianxia,гд0.15
2024/6/23 12:03,Catering,BUPT,гд14.00
2024/6/22 19:48,Catering,BUPT,гд14.00
2024/6/22 15:36,Living,Fenbitianxia,гд3.00
2024/6/22 15:34,Shopping,DMALL,гд1.50
2024/6/22 12:56,Shopping,DMALL,гд4.88
2024/6/22 12:30,Catering,BUPT,гд12.00
2024/6/21 17:37,Catering,Meituan,гд22.51
2024/6/21 17:10,Living,Fenbitianxia,гд1.50
2024/6/20 23:18,Shopping,DMALL,гд8.30
2024/6/19 21:40,Living,Fenbitianxia,гд1.35
2024/6/19 18:47,Shopping,DMALL,гд21.28
2024/6/18 18:10,Shopping,DMALL,гд2.50
2024/6/17 22:52,Shopping,DMALL,гд10.90
2024/6/17 13:07,Living,BUPT,гд100.00
2024/6/17 13:04,Living,BUPT,гд100.00
2024/6/16 20:04,Living,BUPT,гд24.00
2024/6/16 18:17,Catering,Meituan,гд26.80
2024/6/16 13:16,Shopping,DMALL,гд41.80
2024/6/16 12:41,Catering,BUPT,гд16.00
2024/6/15 23:43,Catering,Meituan,гд24.30
2024/6/15 18:31,Catering,Meituan,гд23.80
2024/6/15 13:47,Shopping,DMALL,гд3.90
2024/6/14 18:44,Shopping,Fruit shop,гд6.00
2024/6/14 13:52,Shopping,DMALL,гд12.90
2024/6/14 13:51,Shopping,DMALL,гд1.50
2024/6/14 9:48,Shopping,DMALL,гд10.40
2024/6/13 12:33,Living,Jiachen,гд38.00
2024/6/13 10:21,Catering,BUPT,гд2.00
2024/6/13 10:19,Catering,BUPT,гд4.00
2024/6/13 10:00,Living,Fenbitianxia,гд0.15
2024/6/12 19:59,Shopping,DMALL,гд6.50
2024/6/12 13:19,Shopping,DMALL,гд4.90
2024/6/11 14:01,Living,Gzz,гд1.20
2024/6/11 12:41,Shopping,DMALL,гд2.00
2024/6/10 20:37,Shopping,DMALL,гд3.90
2024/6/10 19:52,Shopping,DMALL,гд3.50
2024/6/10 18:03,Catering,Meituan,гд22.90
2024/6/10 11:35,Catering,Meituan,гд26.50
2024/6/9 20:06,Shopping,DMALL,гд3.50
2024/6/9 18:23,Catering,Meituan,гд22.70
2024/6/9 12:19,Shopping,Fruit shop,гд8.30
2024/6/8 23:33,Shopping,DMALL,гд16.90
2024/6/7 19:28,Catering,Meituan,гд24.78
2024/6/7 11:35,Catering,Meituan,гд28.80
2024/6/6 13:32,Shopping,Fruit shop,гд8.90
2024/6/5 23:24,Shopping,DMALL,гд7.90
2024/6/5 19:22,Shopping,Fruit shop,гд6.60
2024/6/5 19:07,Living,Jiayi,гд40.00
2024/6/4 18:47,Shopping,Fruit shop,гд8.70
2024/6/4 11:59,Living,Fenbitianxia,гд1.80
2024/6/4 11:57,Living,Fenbitianxia,гд9.00
2024/6/3 13:38,Living,Fenbitianxia,гд6.30
2024/6/2 23:30,Living,BUPT,гд100.00
2024/6/2 17:59,Shopping,Fruit shop,гд3.40
2024/6/2 17:31,Living,BUPT,гд200.00
2024/6/2 17:30,Catering,BUPT,гд13.00
2024/6/2 11:12,Catering,BUPT,гд13.00
2024/6/1 23:45,Catering,Meituan,гд17.60
2024/6/1 17:11,Shopping,DMALL,гд1.50
2024/6/1 15:50,Living,Jiachen,гд83.00
